Sum of Quantity,Year,Quarter,Month,Day,Sum of UnitPrice,Sum of CostPrice,Category,Region,total sales (SUMX),Sum of profit
5,2022,Qtr 1,January,1,124,96,Beauty,West,527,47
4,2022,Qtr 1,January,1,2629,2024,Electronics,North,10516,2420
3,2022,Qtr 1,January,1,5735,4594,Home,North,8191.799999999999,153
8,2022,Qtr 1,January,1,757,534,Home,South,4844.8,573
5,2022,Qtr 1,January,2,2214,1299,Grocery,East,8856,2361
2,2022,Qtr 1,January,3,2088,1563,Beauty,East,3967.2,841
8,2022,Qtr 1,January,3,4311,2951,Clothing,South,34488,10880
7,2022,Qtr 1,January,3,3046,2165,Electronics,East,20255.9,5101
5,2022,Qtr 1,January,3,2557,1442,Electronics,North,11506.5,4297
2,2022,Qtr 1,January,3,3977,2894,Electronics,South,6363.2,575
3,2022,Qtr 1,January,4,82,48,Clothing,East,209.1,65
4,2022,Qtr 1,January,4,846,690,Clothing,North,2876.4,116
12,2022,Qtr 1,January,4,4026,2737,Electronics,East,19987.2,4443
3,2022,Qtr 1,January,4,1930,1582,Home,East,4921.5,176
8,2022,Qtr 1,January,4,2938,2422,Home,West,19978.4,602
7,2022,Qtr 1,January,5,926,660,Beauty,North,5833.8,1214
7,2022,Qtr 1,January,5,3260,1647,Grocery,South,21679,10150
5,2022,Qtr 1,January,5,843,603,Home,North,3372,357
2,2022,Qtr 1,January,6,4239,3551,Beauty,North,8478,1376
5,2022,Qtr 1,January,6,2373,1258,Electronics,North,11271.75,4982
7,2022,Qtr 1,January,6,66,48,Electronics,South,438.9,103
5,2022,Qtr 1,January,6,3081,1874,Grocery,North,13094.25,3724
6,2022,Qtr 1,January,6,1999,1226,Grocery,West,9595.2,2239
1,2022,Qtr 1,January,6,1251,969,Home,South,1251,282
3,2022,Qtr 1,January,7,3377,2590,Beauty,East,8104.799999999999,335
4,2022,Qtr 1,January,7,2107,1714,Electronics,South,7163.8,308
3,2022,Qtr 1,January,7,3522,1979,Grocery,East,8981.1,3044
5,2022,Qtr 1,January,8,1604,847,Clothing,East,6416,2181
6,2022,Qtr 1,January,8,5188,3973,Clothing,North,8372.5,1620
8,2022,Qtr 1,January,8,452,257,Grocery,West,2712,656
1,2022,Qtr 1,January,8,2960,2193,Home,North,2368,175
3,2022,Qtr 1,January,8,286,178,Home,South,858,324
8,2022,Qtr 1,January,9,1466,1139,Clothing,North,10555.2,1443
1,2022,Qtr 1,January,10,618,329,Electronics,North,525.3,196
5,2022,Qtr 1,January,10,2513,2022,Grocery,West,11936.75,1827
3,2022,Qtr 1,January,10,223,164,Home,South,635.55,144
8,2022,Qtr 1,January,10,59,42,Home,West,448.4,112
4,2022,Qtr 1,January,11,2517,1300,Clothing,West,10068,4868
3,2022,Qtr 1,January,11,113,72,Grocery,South,288.15,72
2,2022,Qtr 1,January,11,3286,2503,Home,East,2589.7,87
1,2022,Qtr 1,January,12,3932,2657,Grocery,South,2949,292
1,2022,Qtr 1,January,12,3592,2378,Home,East,3053.2,675
8,2022,Qtr 1,January,13,3628,2486,Beauty,South,29024,9136
6,2022,Qtr 1,January,14,3777,2027,Clothing,South,20395.8,8234
9,2022,Qtr 1,January,14,6570,5393,Grocery,West,28324.8,-226
4,2022,Qtr 1,January,14,1742,1368,Home,East,6619.6,1148
6,2022,Qtr 1,January,15,3959,2585,Beauty,South,22566.3,7056
4,2022,Qtr 1,January,15,4997,3440,Clothing,East,18988.6,5229
6,2022,Qtr 1,January,15,3462,1740,Clothing,North,18694.8,8255
3,2022,Qtr 1,January,15,2592,1669,Electronics,South,6609.6,1603
1,2022,Qtr 1,January,15,1107,582,Grocery,West,996.3,414
1,2022,Qtr 1,January,16,1748,1110,Clothing,West,1573.2,463
9,2022,Qtr 1,January,16,6692,4551,Grocery,South,28175,8525
2,2022,Qtr 1,January,16,631,333,Home,East,1198.9,533
4,2022,Qtr 1,January,16,4250,2861,Home,South,13600,2156
8,2022,Qtr 1,January,17,1650,1345,Beauty,North,9900,-860
6,2022,Qtr 1,January,17,3848,2989,Grocery,West,17316,-618
7,2022,Qtr 1,January,17,1620,858,Home,North,11340,5334
1,2022,Qtr 1,January,18,3786,3159,Beauty,South,3407.4,248
6,2022,Qtr 1,January,18,2991,2174,Clothing,East,13459.5,416
6,2022,Qtr 1,January,18,1671,1210,Electronics,East,8522.1,1262
1,2022,Qtr 1,January,18,4542,2339,Electronics,West,4314.9,1976
5,2022,Qtr 1,January,19,2932,2283,Clothing,West,10995,-420
1,2022,Qtr 1,January,19,3675,2398,Home,South,3307.5,910
4,2022,Qtr 1,January,20,340,178,Beauty,East,1360,648
7,2022,Qtr 1,January,20,4247,3426,Beauty,South,25269.65,1288
1,2022,Qtr 1,January,20,3921,2726,Clothing,North,3724.95,999
10,2022,Qtr 1,January,20,3350,2078,Clothing,South,15780.15,4098
1,2022,Qtr 1,January,20,918,472,Home,North,826.2,354
7,2022,Qtr 1,January,21,2529,1587,Clothing,South,16817.85,5709
4,2022,Qtr 1,January,21,2220,1341,Electronics,South,8436,3072
8,2022,Qtr 1,January,21,3933,2007,Home,East,26744.4,10688
8,2022,Qtr 1,January,22,3629,2529,Clothing,North,21774,1542
8,2022,Qtr 1,January,22,4120,2959,Clothing,South,29664,5992
3,2022,Qtr 1,January,22,4942,4069,Electronics,North,11860.8,-346
6,2022,Qtr 1,January,22,958,689,Grocery,North,4311,177
8,2022,Qtr 1,January,23,4451,2511,Clothing,East,32047.2,11959
12,2022,Qtr 1,January,23,4893,3583,Electronics,South,25438.75,1754
6,2022,Qtr 1,January,23,3315,2546,Electronics,West,14917.5,-359
8,2022,Qtr 1,January,24,2292,1743,Beauty,East,13752,-192
2,2022,Qtr 1,January,24,394,241,Clothing,South,630.4,148
4,2022,Qtr 1,January,24,1023,799,Electronics,North,4092,896
3,2022,Qtr 1,January,24,3406,2270,Electronics,West,8174.4,1364
5,2022,Qtr 1,January,24,1011,829,Grocery,North,3791.25,-354
1,2022,Qtr 1,January,25,2477,1987,Beauty,South,2105.45,118
2,2022,Qtr 1,January,25,1183,602,Grocery,North,2247.7,1044
6,2022,Qtr 1,January,25,1302,773,Home,South,6249.6,1612
8,2022,Qtr 1,January,26,7689,5706,Beauty,South,29479.5,6180
6,2022,Qtr 1,January,26,204,125,Beauty,West,918,168
9,2022,Qtr 1,January,26,7606,5570,Clothing,South,28386,1206
4,2022,Qtr 1,January,27,2887,2078,Beauty,East,11548,3236
7,2022,Qtr 1,January,27,4223,2622,Beauty,South,29561,11207
2,2022,Qtr 1,January,27,573,452,Electronics,East,974.1,70
6,2022,Qtr 1,January,27,2160,1413,Grocery,West,11016,2538
2,2022,Qtr 1,January,27,1917,1520,Home,South,3450.6,411
7,2022,Qtr 1,January,28,423,227,Beauty,West,2220.75,632
12,2022,Qtr 1,January,29,3770,2420,Clothing,South,21088.4,6424
5,2022,Qtr 1,January,29,4786,2726,Electronics,South,19144,5514
4,2022,Qtr 1,January,29,4946,4117,Home,South,17805.6,1338
4,2022,Qtr 1,January,30,4292,3146,Clothing,South,5126.2,1088
6,2022,Qtr 1,January,30,2932,1648,Grocery,West,16712.4,6824
3,2022,Qtr 1,January,30,437,318,Home,South,983.25,29
4,2022,Qtr 1,January,31,152,96,Electronics,East,547.2,163
6,2022,Qtr 1,January,31,3517,1917,Home,East,18991.8,7490
5,2022,Qtr 1,February,1,3704,2997,Beauty,South,15742,757
2,2022,Qtr 1,February,1,78,41,Electronics,South,132.6,51
6,2022,Qtr 1,February,1,2736,1520,Grocery,South,12312,3192
11,2022,Qtr 1,February,1,8895,6395,Home,North,39338.1,3803
6,2022,Qtr 1,February,2,1061,743,Beauty,South,6047.7,1590
7,2022,Qtr 1,February,2,458,307,Electronics,South,2885.4,736
7,2022,Qtr 1,February,2,3704,2528,Home,South,19446,1750
1,2022,Qtr 1,February,3,1974,1052,Beauty,North,1579.2,527
2,2022,Qtr 1,February,3,4642,3007,Clothing,South,8819.8,2806
8,2022,Qtr 1,February,3,977,514,Home,South,6252.8,2141
10,2022,Qtr 1,February,4,3540,2762,Beauty,North,17593.25,3311
3,2022,Qtr 1,February,4,2024,1451,Beauty,South,5768.4,1415
6,2022,Qtr 1,February,4,2903,1617,Electronics,South,15676.2,5974
1,2022,Qtr 1,February,4,4586,2514,Home,South,3668.8,1155
6,2022,Qtr 1,February,5,3757,2844,Electronics,East,19160.7,2097
2,2022,Qtr 1,February,5,4921,3427,Home,North,7873.6,1020
5,2022,Qtr 1,February,5,2554,1703,Home,South,10216,1701
2,2022,Qtr 1,February,6,1621,1008,Beauty,South,2431.5,416
6,2022,Qtr 1,February,6,2054,1134,Clothing,North,10475.4,3671
8,2022,Qtr 1,February,6,4880,3813,Electronics,South,37088,6584
